id,horas_jugadas,app_name,release_date,Strategy,Action,Indie,Casual,Simulation,RPG,Adventure,Singleplayer,count,recommend,sentiment_analysis
10,18546.733333333334,Counter-Strike,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.98,1.12
20,2052.2,Team Fortress Classic,1999.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,0.6666666666666666,1.1333333333333333
30,2171.75,Day of Defeat,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.75,1.0
40,34.96666666666666,Deathmatch Classic,2001.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
50,623.1333333333333,Half-Life: Opposing Force,1999.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.75,1.0
60,96.13333333333333,Ricochet,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.1111111111111112
70,2300.0833333333335,Half-Life,1998.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,1.0,1.0727272727272728
80,665.0833333333334,Counter-Strike: Condition Zero,2004.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.75,1.0833333333333333
130,319.48333333333335,Half-Life: Blue Shift,2001.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
220,8657.816666666666,Half-Life 2,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,189.0,0.9576719576719577,1.0423280423280423
240,41901.65,Counter-Strike: Source,2004.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,225.0,0.9511111111111111,1.1777777777777778
280,674.25,Half-Life: Source,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.8571428571428571,1.2857142857142858
300,4247.383333333333,Day of Defeat: Source,2010.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.9285714285714286,1.1428571428571428
320,2303.7333333333336,Half-Life 2: Deathmatch,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.9090909090909091,1.3636363636363635
340,308.25,Half-Life 2: Lost Coast,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.8461538461538461,1.0
360,417.53333333333336,Half-Life Deathmatch: Source,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0
380,1878.5666666666666,Half-Life 2: Episode One,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.9333333333333333,1.0666666666666667
400,3830.3166666666666,Portal,2007.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,97.0,1.0,1.092783505154639
