user_id,funny,posted,item_id,helpful,recommend,sentiment_analysis
76561197970982479,,2011,1250,No ratings yet,True,1
76561197970982479,,2011,22200,No ratings yet,True,1
76561197970982479,,2011,43110,No ratings yet,True,1
js41637,,2014,251610,15 of 20 people (75%) found this review helpful,True,1
js41637,,2013,227300,0 of 1 people (0%) found this review helpful,True,1
js41637,,2013,239030,1 of 4 people (25%) found this review helpful,True,1
evcentric,,2015,370360,No ratings yet,True,1
evcentric,,2014,237930,No ratings yet,True,1
evcentric,,2014,263360,No ratings yet,True,1
evcentric,,2014,107200,No ratings yet,True,1
evcentric,,2014,224500,No ratings yet,True,1
doctr,,2013,250320,2 of 2 people (100%) found this review helpful,True,1
doctr,,2012,20920,1 of 1 people (100%) found this review helpful,True,1
doctr,,2012,204100,1 of 1 people (100%) found this review helpful,True,1
doctr,,2014,224600,1 of 2 people (50%) found this review helpful,True,1
doctr,,2012,207610,No ratings yet,True,1
doctr,,2012,108710,No ratings yet,True,1
maplemage,3 people found this review funny,2014,211420,35 of 43 people (81%) found this review helpful,True,1
maplemage,1 person found this review funny,2013,211820,12 of 16 people (75%) found this review helpful,True,1
maplemage,2 people found this review funny,2014,730,5 of 5 people (100%) found this review helpful,True,1
maplemage,,2013,204300,No ratings yet,True,1
Wackky,,2014,249130,7 of 8 people (88%) found this review helpful,True,1
Wackky,,2012,207610,1 of 1 people (100%) found this review helpful,True,1
Wackky,1 person found this review funny,2012,550,1 of 1 people (100%) found this review helpful,True,1
Wackky,,2012,65800,1 of 1 people (100%) found this review helpful,True,1
Wackky,,2012,220,No ratings yet,True,1
76561198089393905,5 people found this review funny,2015,72850,3 of 3 people (100%) found this review helpful,True,1
76561198089393905,1 person found this review funny,2014,440,3 of 3 people (100%) found this review helpful,True,1
76561198077246154,,2014,304930,No ratings yet,True,1
WeiEDKrSat,,2013,4000,0 of 1 people (0%) found this review helpful,True,1
thequeenpanda,,2012,42910,0 of 2 people (0%) found this review helpful,True,1
death-hunter,,2015,232090,0 of 1 people (0%) found this review helpful,True,1
death-hunter,,2015,1250,No ratings yet,True,1
death-hunter,,2014,4000,No ratings yet,True,1
DJKamBer,,2014,304930,2 of 4 people (50%) found this review helpful,True,1
DJKamBer,,2013,570,0 of 1 people (0%) found this review helpful,True,1
DJKamBer,1 person found this review funny,2015,218620,2 of 6 people (33%) found this review helpful,True,1
DJKamBer,,2013,224260,No ratings yet,True,1
DJKamBer,,2013,1250,No ratings yet,True,1
DJKamBer,,2012,440,No ratings yet,True,1
Rainbow-Dashie,,2015,730,1 of 3 people (33%) found this review helpful,True,1
Rainbow-Dashie,,2014,440,0 of 2 people (0%) found this review helpful,True,2
Rainbow-Dashie,,2014,49520,0 of 2 people (0%) found this review helpful,True,1
76561198043472122,,2014,33440,1 of 3 people (33%) found this review helpful,False,1
MarbleShrine,17 people found this review funny,2015,220200,28 of 31 people (90%) found this review helpful,True,1
PPanther,,2014,211820,No ratings yet,True,1
devvonst,,2014,440,6 of 9 people (67%) found this review helpful,True,1
devvonst,,2014,218740,0 of 1 people (0%) found this review helpful,True,1
devvonst,,2015,550,No ratings yet,True,2
starkillershadow553,,2015,238090,1 of 2 people (50%) found this review helpful,True,1
starkillershadow553,,2014,277430,No ratings yet,True,1
76561198058373434,,2015,8870,2 of 2 people (100%) found this review helpful,True,1
76561198048353577,,2015,368230,3 of 5 people (60%) found this review helpful,True,1
76561198048353577,,2013,33930,No ratings yet,True,1
76561198066046412,,2015,359320,4 of 5 people (80%) found this review helpful,False,1
76561198066046412,2 people found this review funny,2015,219640,1 of 5 people (20%) found this review helpful,True,1
tru_mu_,,2015,287980,No ratings yet,True,1
76561198070565427,,2015,208090,No ratings yet,True,2
76561198070565427,1 person found this review funny,2014,242700,No ratings yet,True,1
76561198070565427,,2014,570,No ratings yet,False,1
76561198070565427,,2014,224260,No ratings yet,True,1
SavageEeEe,,2015,221100,0 of 8 people (0%) found this review helpful,True,1
76561198076909484,,2014,570,No ratings yet,True,2
KanadeTheNeko,,2014,331470,27 of 41 people (66%) found this review helpful,True,1
KanadeTheNeko,,2014,4000,8 of 10 people (80%) found this review helpful,True,1
GoAwayZach,,2014,304930,No ratings yet,True,1
76561198054540475,,2015,12210,No ratings yet,True,1
76561198054540475,,2014,265210,No ratings yet,True,1
76561198054540475,,2014,48700,No ratings yet,True,1
76561198061252210,,2015,730,0 of 1 people (0%) found this review helpful,True,1
OfficialShroomsy,,2013,113200,No ratings yet,True,1
boydeer,,2014,440,4 of 4 people (100%) found this review helpful,True,1
boydeer,,2015,383080,4 of 7 people (57%) found this review helpful,False,1
VVillis,,2015,213670,No ratings yet,True,1
76561198083226897,,2015,105600,No ratings yet,True,1
76561198075277292,,2015,730,1 of 1 people (100%) found this review helpful,True,1
76561198075277292,,2015,570,No ratings yet,True,1
76561198028895010,,2013,231180,No ratings yet,True,1
76561198028895010,,2012,620,No ratings yet,True,1
diego9031,1 person found this review funny,2015,223710,No ratings yet,True,1
diego9031,,2015,299360,No ratings yet,True,1
diego9031,,2015,322330,No ratings yet,True,1
diego9031,,2015,1250,No ratings yet,True,1
diego9031,,2015,12100,No ratings yet,True,1
diego9031,,2015,204360,No ratings yet,True,1
diego9031,,2013,440,No ratings yet,True,1
diego9031,,2013,224260,No ratings yet,True,1
jarrodtrim,,2012,440,No ratings yet,True,1
76561198067936203,,2015,440,1 of 1 people (100%) found this review helpful,True,1
76561198079770573,,2015,1840,3 of 6 people (50%) found this review helpful,True,1
76561198087586464,,2013,440,1 of 1 people (100%) found this review helpful,True,1
Derp-e,,2015,440,1 of 1 people (100%) found this review helpful,True,1
76561198070194565,,2014,233250,0 of 11 people (0%) found this review helpful,True,1
76561198070194565,,2015,248570,No ratings yet,True,1
Rivtex,,2015,298630,0 of 1 people (0%) found this review helpful,True,1
UTNerd24,,2014,244210,1 of 1 people (100%) found this review helpful,True,1
UTNerd24,2 people found this review funny,2015,440,1 of 2 people (50%) found this review helpful,True,1
UTNerd24,2 people found this review funny,2015,376920,13 of 27 people (48%) found this review helpful,True,1
UTNerd24,,2015,257750,No ratings yet,True,1
UTNerd24,,2014,221910,No ratings yet,True,1
UTNerd24,,2013,2280,No ratings yet,True,1
sandwiches1,,2015,417860,No ratings yet,False,1
76561198138053270,,2014,218620,No ratings yet,True,2
lucaswerg,,2014,218620,2 of 3 people (67%) found this review helpful,True,1
lucaswerg,,2014,222880,1 of 2 people (50%) found this review helpful,True,1
Life-Of-Blu,,2015,377160,1 of 5 people (20%) found this review helpful,True,1
Life-Of-Blu,,2013,211820,No ratings yet,True,1
CaptianAutismo,1 person found this review funny,2015,252490,No ratings yet,True,1
76561198075895633,,2014,440,1 of 1 people (100%) found this review helpful,True,1
kube134,,2014,251990,1 of 1 people (100%) found this review helpful,True,1
iamthekingofbrowntown,,2015,344760,3 of 4 people (75%) found this review helpful,False,1
iamthekingofbrowntown,,2015,252950,1 of 1 people (100%) found this review helpful,True,1
iamthekingofbrowntown,,2015,399730,No ratings yet,True,1
yookobz,,2015,377160,1 of 3 people (33%) found this review helpful,True,1
yookobz,,2013,219150,No ratings yet,True,1
Posiblydead,,2014,277430,No ratings yet,True,1
Posiblydead,,2014,239820,No ratings yet,True,1
Posiblydead,,2012,17410,No ratings yet,True,1
Mossy_Gaming,,2015,440,1 of 1 people (100%) found this review helpful,True,1
76561198102421718,,2015,270550,1 of 2 people (50%) found this review helpful,True,1
76561198102421718,,2015,274940,0 of 1 people (0%) found this review helpful,True,1
76561198102421718,1 person found this review funny,2015,333930,0 of 2 people (0%) found this review helpful,True,1
76561198087407319,,2014,440,1 of 1 people (100%) found this review helpful,True,1
76561198056741844,,2014,730,2 of 3 people (67%) found this review helpful,True,1
sad-commie,,2014,212070,3 of 5 people (60%) found this review helpful,True,1
sad-commie,,2014,264140,No ratings yet,True,1
76561198030567998,2 people found this review funny,2014,332800,194 of 282 people (69%) found this review helpful,True,1
76561198030567998,,2015,319630,1 of 2 people (50%) found this review helpful,True,1
76561198030567998,,2015,6020,No ratings yet,True,1
76561198030567998,,2015,55230,No ratings yet,True,1
76561198030567998,,2014,32430,No ratings yet,True,1
Coldaniel,,2015,35450,1 of 1 people (100%) found this review helpful,True,1
Coldaniel,,2014,440,1 of 1 people (100%) found this review helpful,True,1
Coldaniel,,2015,236390,2 of 5 people (40%) found this review helpful,True,1
therealmorty,,2015,351570,No ratings yet,True,2
therealmorty,,2015,212680,No ratings yet,True,1
Berserklejerker,,2015,391540,2 of 3 people (67%) found this review helpful,True,1
